mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Joseph J. Kohn,"['mathematician', 'educator']",['United States of America'],Prague,,['Princeton University'],"['Princeton University', 'Harvard University']",,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']","['Princeton University', 'Harvard University']",['Donald C. Spencer'],,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],['3±0'],['human'],['male'],False,18,May,1932,False,,,
Kokichi Sugihara,[''],['Japan'],Gifu Prefecture,,['University of Tokyo'],"['University of Tokyo', 'Nagoya University', 'Meiji University']",,,"['University of Tokyo', 'Nagoya University', 'Meiji University']",,,,,,,,,,['human'],['male'],False,,,1948,False,,,
Ted Harris (mathematician),['mathematician'],['United States of America'],,3 November 2005,,,,['National Academy of Sciences'],,['Samuel S. Wilks'],,,,,,['probability theory'],,,['human'],['male'],False,11,January,1919,False,3,November,2005
Yajnavalkya,"['astronomer', 'philosopher']",,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Carl Gustav Jacob Jacobi,"['mathematician', 'university teacher']",['Prussia'],Potsdam,18 February 1851,['Humboldt University of Berlin'],['Humboldt University of Berlin'],['Berlin'],"['Royal Society', 'Prussian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Russian Academy of Sciences', 'French Academy of Sciences', 'American Academy of Arts and Sciences', 'Russian Academy of Sciences']",['Humboldt University of Berlin'],['Enno Dirksen'],['German'],,['Otto Hesse'],['natural causes'],,"['differential geometry', 'number theory']","['Order of Merit for Arts and Science', 'Pour le Mérite', 'Grand prix des sciences mathématiques', '1830']",,['human'],['male'],False,10,December,1804,False,18,February,1851
Eduardo Héctor Zarantonello,['mathematician'],['Argentina'],Buenos Aires,13 January 2010,['National University of La Plata'],,['Mendoza'],,,,,,,,,,,,['human'],['male'],False,4,June,1918,False,13,January,2010
Charles L. Bouton,"['mathematician', 'university teacher']",['United States of America'],St. Louis,20 February 1922,['Washington University in St. Louis'],"['Harvard University', 'Washington University in St. Louis']",,['American Academy of Arts and Sciences'],"['Harvard University', 'Washington University in St. Louis']",,,,,,,,,,['human'],['male'],False,25,April,1869,False,20,February,1922
Aleksandr Danilovich Aleksandrov,"['mathematician', 'physicist', 'university teacher']","['Soviet Union', 'Russia']",Ryazan Oblast,27 July 1999,"['Saint Petersburg State University', 'Q4483622']","['Vavilov State Optical Institute', 'Saint Petersburg State University', 'Steklov Institute of Mathematics', 'Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences']",['Moscow'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR', 'Lincean Academy']","['Vavilov State Optical Institute', 'Saint Petersburg State University', 'Steklov Institute of Mathematics', 'Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences']","['Boris Delaunay', 'Vladimir Fock']",['Russian'],['Doctor of Sciences in Physics and Mathematics'],['Grigori Perelman'],,,"['differential geometry', 'dialectical materialism', 'Philosophy of physics', 'Riemannian geometry', 'Q4501728', 'discrete geometry', 'hyperbolic geometry']","['State Stalin Prize', '1942', 'Order of Lenin', '1961', 'Order of Honour', '1999', 'Master of Sport of the USSR', '1949', 'Order of Friendship of Peoples', '1982', 'Honored Scientist of the RSFSR', '1963', 'Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""', 'Medal ""For the Defence of Leningrad""', 'Order of the Red Banner of Labour', '1957', 'Order of the Red Banner of Labour', '1975', 'Order of the Red Banner of Labour', '1990', 'Lobachevsky Prize', '1951']",,['human'],['male'],False,22,July,1912,False,27,July,1999
Abu Mansur al-Baghdadi,"['mathematician', 'theologian', 'faqih', 'literary']",['Abbasid Caliphate'],Baghdad,1037,,,['Isfara'],,,,['Arabic'],,,,,"[""Ash'ari"", 'Shafi`i', 'mathematics']",,,['human'],['male'],False,,,980,False,,,1037
Alfred William Flux,['statistician'],,Portsmouth,16 July 1942,"[""St John's College""]",,['Faxe Ladeplads'],,,,,,,,,,['Companion of the Order of the Bath'],,['human'],['male'],False,8,April,1867,False,16,July,1942
