mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Vincent Lafforgue,"['mathematician', 'university teacher']",['France'],Antony,,"['University of Paris', 'Lycée Louis-le-Grand', 'École Normale Supérieure']",,,,,['Jean-Benoît Bost'],,,,,,,"['Q3405286', '2014']",,['human'],['male'],False,20,January,1974,False,,,
Edward Brooks (educator),['mathematician'],,Stony Point,29 June 1912,,,,,,,,,,,,,,,['human'],['male'],False,16,January,1831,False,29,June,1912
Alberto Pappiani,['mathematician'],,,1790,,,,,,,,,,,,,,,['human'],['male'],False,,,1709,False,,,1790
David Singmaster,['mathematician'],['United States of America'],United States of America,,['California Institute of Technology'],,,,,,,,,,,,,,['human'],['male'],False,,,1939,False,,,
Arnaldo Garcia,['mathematician'],,,,['Instituto Nacional de Matemática Pura e Aplicada'],['Instituto Nacional de Matemática Pura e Aplicada'],,['Brazilian Academy of Sciences'],['Instituto Nacional de Matemática Pura e Aplicada'],,,,,,,,,,['human'],['male'],False,,,1950,False,,,
Francis Dominic Murnaghan (mathematician),"['mathematician', 'university teacher']",['United States of America'],Omagh,24 March 1976,['University College Dublin'],['Johns Hopkins University'],,"['National Academy of Sciences', 'Royal Irish Academy', 'American Philosophical Society']",['Johns Hopkins University'],,,,,,,['group theory'],,,['human'],['male'],False,4,August,1893,False,24,March,1976
Max Simon (mathematician),"['mathematician', 'historian of mathematics']",['Germany'],Kołobrzeg,15 January 1918,,,['Strasbourg'],,,,,,,,,,,,['human'],['male'],False,8,June,1844,False,15,January,1918
Henri Skoda,['mathematician'],['France'],,,,['University of Paris'],,,['University of Paris'],"['André Martineau', 'Pierre Lelong']",['French'],,['Jean-Pierre Demailly'],,,,"['Poncelet Prize', '1978']",,['human'],['male'],False,,,1945,False,,,
Radha Laha,"['mathematician', 'statistician']",['India'],"Calcutta, Indiana",14 July 1999,['University of Calcutta'],,['Perrysburg'],,,['C. R. Rao'],,,,,,['probability theory'],,,['human'],['male'],False,1,October,1930,False,14,July,1999
Rudolf Wille,"['mathematician', 'university teacher']",['Germany'],Free Hanseatic City of Bremen,22 January 2017,,['Technische Universität Darmstadt'],['Bickenbach'],,['Technische Universität Darmstadt'],,['German'],,,,,['Formal concept analysis'],,,['human'],['male'],False,2,November,1937,False,22,January,2017
Abe Sklar,['mathematician'],['United States of America'],,,['California Institute of Technology'],['Illinois Institute of Technology'],,,['Illinois Institute of Technology'],,,,,,,,,,['human'],['male'],False,,,,False,,,
László Filep,['mathematician'],['Hungary'],Császló,19 November 2004,,,['Budapest'],,,"['Barna Szénássy', 'Lajos Tamássy']",,,,,,,,,['human'],['male'],False,6,December,1941,False,19,November,2004
B. R. Bhat,['statistician'],['India'],,,"['University of California, Berkeley']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Richard P. Stanley,"['mathematician', 'university teacher']",['United States of America'],New York City,,['Harvard University'],['Massachusetts Institute of Technology'],,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",['Massachusetts Institute of Technology'],['Gian-Carlo Rota'],['English'],,,,,['combinatorics'],"['Rolf Schock Prize in Mathematics', '2003']",['2±0'],['human'],['male'],False,23,June,1944,False,,,
Hal Abelson,"['mathematician', 'computer scientist', 'engineer', 'artificial intelligence researcher']",['United States of America'],,,"['Princeton University', 'Massachusetts Institute of Technology']",['Massachusetts Institute of Technology'],,['Institute of Electrical and Electronics Engineers'],['Massachusetts Institute of Technology'],['Dennis Sullivan'],['English'],,['Mitchel Resnick'],,,['informatics'],,['3±0'],['human'],['male'],False,26,April,1947,False,,,
Gaetano Fichera,"['mathematician', 'historian of mathematics', 'university teacher']",['Italy'],Acireale,1 June 1996,,,['Rome'],"['German Academy of Sciences Leopoldina', 'Lincean Academy', 'Russian Academy of Sciences']",,['Mauro Picone'],['Italian'],,,,,"['mathematical analysis', 'partial differential equation']",['Feltrinelli Prize'],,['human'],['male'],False,8,February,1922,False,1,June,1996
Willard Van Orman Quine,"['mathematician', 'analytic philosopher', 'philosopher of language', 'epistemologist', 'philosopher of science', 'university teacher', 'professor', 'philosopher']",['United States of America'],Akron,25 December 2000,"['Harvard University', 'Oberlin College']","['Harvard University', 'Wesleyan University']",['Boston'],['American Academy of Arts and Sciences'],"['Harvard University', 'Wesleyan University']",['Alfred North Whitehead'],['English'],,,,,"['model theory', 'set theory', 'ontology']","['Rolf Schock Prize in Logic and Philosophy', '1993']",,['human'],['male'],False,25,June,1908,False,25,December,2000
Kazuhiko Aomoto,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Takuro Shintani,['mathematician'],,,14 November 1980,,,,,,,,,,,,,,,['human'],['male'],False,4,February,1943,False,14,November,1980
William Emerson (mathematician),['mathematician'],,,20 May 1782,,,,,,,,,,,,,,,['human'],['male'],False,14,May,1701,False,20,May,1782
Wallace Givens,"['mathematician', 'computer scientist']",['United States of America'],,5 March 1993,,['Wayne State University'],,,['Wayne State University'],,,,,,,,,,['human'],['male'],False,14,December,1910,False,5,March,1993
Ieke Moerdijk,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Veenendaal,,"['University of Amsterdam', 'mathematics', 'philosophy', 'general linguistics']","['Utrecht University', '20 May 1996', '1 September 2011', 'university teacher', 'Radboud University Nijmegen', '1 November 2011', 'university teacher']",,"['Academia Europaea', '2014', 'Royal Netherlands Academy of Arts and Sciences', '2006']","['Utrecht University', '20 May 1996', '1 September 2011', 'university teacher', 'Radboud University Nijmegen', '1 November 2011', 'university teacher']",['Anne Sjerp Troelstra'],,"['doctoral degree', '20 November 1985', 'University of Amsterdam']",,,,,"['Spinoza Prize', '2012', 'Q18043370', '2011']",,['human'],['male'],False,23,January,1958,False,,,
Shigeo Sasaki,['mathematician'],['Japan'],,14 August 1987,,,,,,,,,,,,,,,['human'],['male'],False,18,November,1912,False,14,August,1987
Jaroslav Nešetřil,"['mathematician', 'educator', 'university teacher']",['Czech Republic'],Brno,,['Charles University in Prague'],,,"['Academia Europaea', 'North Rhine-Westphalia Academy for Sciences and Arts']",,['Gert Sabidussi'],['Czech'],['professor'],,,,"['combinatorics', 'graph theory']","['Medal of Merit', 'Q12053292', '28 October 2010']",['1±0'],['human'],['male'],False,13,March,1946,False,,,
David Lowery (musician),"['singer', 'mathematician', 'singer-songwriter']",['United States of America'],San Antonio,,,['University of Georgia'],,,['University of Georgia'],,,,,,,,,,['human'],['male'],False,10,September,1960,False,,,
Eckhard Meinrenken,['mathematician'],"['Canada', 'Germany']",,,,['University of Toronto'],,,['University of Toronto'],,,,,,,,,,['human'],['male'],True,,,1900,False,,,
Thomas William Körner,"['mathematician', 'university teacher']",['United Kingdom'],,,['Trinity Hall'],,,,,['Nicholas Varopoulos'],['English'],,,,,['mathematical analysis'],"['Salem Prize', '1972']",['2±0'],['human'],['male'],False,17,February,1946,False,,,
Philibert Babou,"['cryptographer', 'engineer', 'politician']",['France'],,1557,,,,,,,,,,,['maire'],,,,['human'],['male'],False,,,,False,,,1557
Gustav de Vries,['mathematician'],['Kingdom of the Netherlands'],Amsterdam,16 December 1934,['University of Amsterdam'],['University of Amsterdam'],['Haarlem'],,['University of Amsterdam'],['Diederik Korteweg'],,,,,,,,,['human'],['male'],False,22,January,1866,False,16,December,1934
Khairulla Murtazin,['mathematician'],['Soviet Union'],Bashkir Autonomous Soviet Socialist Republic,17 November 2016,,,['Ufa'],,,['Mark Naimark'],,,,,,"['differential equation', 'Schrödinger equation']",,,['human'],['male'],False,4,January,1941,False,17,November,2016
Igor Shelushkov,['mathematician'],,Nizhny Novgorod,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Goro Azumaya,"['mathematician', 'university teacher']",['Japan'],Yokohama,8 July 2010,['Nagoya University'],"['Nagoya University', 'Hokkaido University']",['Bloomington'],,"['Nagoya University', 'Hokkaido University']",['Shokichi Iyanaga'],,,,,,,,,['human'],['male'],False,26,February,1920,False,8,July,2010
Nicolas-François Canard,"['economist', 'mathematician', 'philosopher']",['France'],Sézanne,1833,,,['Moulins'],['Royal Swedish Academy of Sciences'],,,['French'],,,,,,,,['human'],['male'],False,2,December,1754,False,,,1833
Matthias Aschenbrenner,['mathematician'],['United States of America'],,,,"['University of California, Los Angeles']",,['American Mathematical Society'],"['University of California, Los Angeles']",,,,,,,,,['3±0'],['human'],['male'],False,,,1972,False,,,
Wolfgang Rautenberg,"['mathematician', 'author', 'philosopher', 'university teacher']",['Germany'],Potsdam,4 September 2011,,['Free University of Berlin'],['Berlin'],,['Free University of Berlin'],,['German'],,,,,,,,['human'],['male'],False,27,February,1936,False,4,September,2011
Feza Gürsey,"['mathematician', 'physicist', 'university teacher', 'scientist', 'theoretical physicist']",['Turkey'],Istanbul,13 April 1992,"['Imperial College London', 'Galatasaray High School', '1940', 'Istanbul University', '1944', 'University of Cambridge', '1951', '1950']","['Yale University', 'Columbia University']",['New Haven'],['American Academy of Arts and Sciences'],"['Yale University', 'Columbia University']",,,,,,,,"['Commendatore', '1984', 'Wigner Medal', '1986', 'J. Robert Oppenheimer Memorial Prize', '1977']",,['human'],['male'],False,7,April,1921,False,13,April,1992
Pavel Urysohn,"['mathematician', 'topologist']",['Russia'],Odessa,17 August 1924,['Moscow State University'],['Moscow State University'],['Batz-sur-Mer'],,['Moscow State University'],['Nikolai Luzin'],,,,['accident'],,"['topology', 'differential equation', 'geometry']",,,['human'],['male'],False,22,January,1898,False,17,August,1924
Erich Hecke,"['mathematician', 'university teacher']",['Germany'],Poznań,13 February 1947,,"['University of Hamburg', 'University of Göttingen', 'University of Basel']",['Copenhagen'],['German Academy of Sciences Leopoldina'],"['University of Hamburg', 'University of Göttingen', 'University of Basel']",['David Hilbert'],['Polish'],['Doctor of Philosophy'],,,,['number theory'],,,['human'],['male'],False,20,September,1887,False,13,February,1947
Étienne Laspeyres,"['economist', 'statistician', 'university teacher']",['Germany'],Halle,4 August 1913,,"['University of Tartu', 'University of Basel', 'Karlsruhe Institute of Technology', 'Riga Technical University']",['Gießen'],,"['University of Tartu', 'University of Basel', 'Karlsruhe Institute of Technology', 'Riga Technical University']",,['German'],,,,,['statistics'],,,['human'],['male'],False,28,November,1834,False,4,August,1913
Michael Christopher Wendl,['bioinformatician'],,,,,,,,,['Ramesh K. Agarwal'],,,,,,,,,['human'],['male'],False,,,,False,,,
Plato Tiburtinus,"['astronomer', 'mathematician', 'translator']",,Tivoli,1145,,,,,,,['Latin'],,,,,,,,['human'],['male'],False,,,1110,False,,,1145
Edmond Laguerre,"['mathematician', 'professor']",['France'],Bar-le-Duc,14 August 1886,['École Polytechnique'],"['Collège de France', 'professor', '1886', '1883']",['Bar-le-Duc'],['French Academy of Sciences'],"['Collège de France', 'professor', '1886', '1883']",,['French'],,,,,,"['Poncelet Prize', '1877']",,['human'],['male'],False,9,April,1834,False,14,August,1886
Charles Julien Brianchon,['mathematician'],['France'],Sèvres,29 April 1864,['École Polytechnique'],,['Versailles'],,,,['French'],,,,,,,,['human'],['male'],False,19,December,1783,False,29,April,1864
Imre Simon,"['mathematician', 'computer scientist']",['Brazil'],Budapest,13 August 2009,,['University of São Paulo'],['São Paulo'],,['University of São Paulo'],['Janusz Brzozowski'],,,,['natural causes'],,,"['Prêmio Jabuti', 'Great Cross of the National Order of Scientific Merit']",,['human'],['male'],False,14,August,1943,False,13,August,2009
Leon (mathematician),['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Maria Assumpció Català i Poch,"['mathematician', 'astronomer', 'professor']",['Spain'],Barcelona,3 July 2009,,['University of Barcelona'],['Barcelona'],,['University of Barcelona'],,"['Catalan', 'Spanish']",,,,,,"['Creu de Sant Jordi', '2009']",,['human'],['female'],False,,,1925,False,3,July,2009
Pierre Petit (engineer),"['astronomer', 'physicist', 'mathematician']",['France'],Montluçon,20 August 1677,,,['Lagny-sur-Marne'],['Royal Society'],,,['French'],,,,,,,,['human'],['male'],False,31,December,1597,False,20,August,1677
Henry Dudeney,"['mathematician', 'chess player']",['United Kingdom'],Mayfield and Five Ashes,23 April 1930,,,['Lewes'],,,,,,,['natural causes'],,,,,['human'],['male'],False,10,April,1857,False,23,April,1930
Konrad Jörgens,"['mathematician', 'university teacher']",['Germany'],Krefeld,28 April 1974,,['Heidelberg University'],,,['Heidelberg University'],,['German'],,,,,,,,['human'],['male'],False,3,December,1926,False,28,April,1974
Neil Garrod,[''],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Giovanni Battista Zupi,"['astronomer', 'mathematician']",,Catanzaro,1650,,,['Naples'],,,,,,,,,,,,['human'],['male'],False,,,1590,False,,,1650
Jan Mikołaj Smogulecki,"['mathematician', 'astronomer', 'explorer']",['Poland'],,1656,,,,,,,,,,,['Q28934332'],,,,['human'],['male'],False,,,1610,False,,,1656
Isaak Yaglom,['mathematician'],['Soviet Union'],Kharkiv,17 April 1988,['Ural State University'],['Moscow State University'],['Moscow'],,['Moscow State University'],['Boris Delaunay'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['geometry', 'history of mathematics']",,,['human'],['male'],False,6,March,1921,False,17,April,1988
Michael F. Shlesinger,['physicist'],['United States of America'],Brooklyn,,"['University of Rochester', 'Stony Brook University']",,,['American Physical Society'],,['Elliott Waters Montroll'],,,,,,,,,['human'],['male'],False,8,August,1948,False,,,
Hermann Schubert,['mathematician'],['Germany'],Potsdam,20 July 1911,['Humboldt University of Berlin'],,['Hamburg'],['German Academy of Sciences Leopoldina'],,,,['doctoral degree'],,,,,,,['human'],['male'],False,22,May,1848,False,20,July,1911
James G. Oldroyd,"['mathematician', 'university teacher']",,,22 November 1982,['Trinity College'],"['University of Liverpool', 'Courtaulds']",['Liverpool'],,"['University of Liverpool', 'Courtaulds']",,,,,,,"['rheology', 'viscoelasticity']",['Adams Prize'],,['human'],['male'],False,,,1921,False,22,November,1982
